[DOMAIN:标签] [CAT:场景/自然户外] outdoors | 户外
[DOMAIN:标签] [CAT:场景/室内家居] indoors | 室内
[DOMAIN:标签] [CAT:场景/自然户外] outside | 户外场景
[DOMAIN:标签] [CAT:场景/室内家居] window | 窗户
[DOMAIN:标签] [CAT:场景/室内家居] on_bed | 床上
[DOMAIN:标签] [CAT:场景/自然户外] beach | 海滩
[DOMAIN:标签] [CAT:场景/室内家居] curtains | 窗帘
[DOMAIN:标签] [CAT:场景/城市街景] building | 建筑
[DOMAIN:标签] [CAT:场景/室内家居] couch | 长沙发
[DOMAIN:标签] [CAT:场景/室内家居] sofa | 沙发
[DOMAIN:标签] [CAT:场景/特殊场所] halloween | 万圣节
[DOMAIN:标签] [CAT:场景/室内家居] wooden_floor | 木地板
[DOMAIN:标签] [CAT:场景/室内家居] stairs | 楼梯
[DOMAIN:标签] [CAT:场景/城市街景] city | 城市
[DOMAIN:标签] [CAT:场景/室内家居] tiles | 瓷砖
[DOMAIN:标签] [CAT:场景/室内家居] railing | 栏杆
[DOMAIN:标签] [CAT:场景/其他] fence | 栅栏
[DOMAIN:标签] [CAT:场景/室内家居] on_chair | 在椅子上
[DOMAIN:标签] [CAT:场景/室内家居] on_couch | 沙发上
[DOMAIN:标签] [CAT:场景/特殊场所] pool | 泳池
[DOMAIN:标签] [CAT:场景/特殊场所] shared_bathing | 混浴
[DOMAIN:标签] [CAT:场景/特殊场所] onsen | 温泉
[DOMAIN:标签] [CAT:场景/公共设施] classroom | 教室
[DOMAIN:标签] [CAT:场景/城市街景] road | 道路
[DOMAIN:标签] [CAT:场景/城市街景] cityscape | 都市景观
[DOMAIN:标签] [CAT:场景/室内家居] shower | 淋浴
[DOMAIN:标签] [CAT:场景/室内家居] tatami | 榻榻米
[DOMAIN:标签] [CAT:场景/其他] battle | 战斗
[DOMAIN:标签] [CAT:场景/室内家居] tile_floor | 瓷砖地板
[DOMAIN:标签] [CAT:场景/自然户外] on_ground | 地面上
[DOMAIN:标签] [CAT:场景/城市街景] architecture | 建筑
[DOMAIN:标签] [CAT:场景/室内家居] under_covers | 被子底下
[DOMAIN:标签] [CAT:场景/室内家居] bedroom | 卧室
[DOMAIN:标签] [CAT:场景/奇幻幻想] torii | 鸟居
[DOMAIN:标签] [CAT:场景/室内家居] bath | 沐浴
[DOMAIN:标签] [CAT:场景/其他] in_container | 容器内
[DOMAIN:标签] [CAT:场景/室内家居] house | 房屋
[DOMAIN:标签] [CAT:场景/城市街景] east_asian_architecture | 东亚建筑
[DOMAIN:标签] [CAT:场景/室内家居] bathroom | 浴室
[DOMAIN:标签] [CAT:场景/特殊场所] same-sex_bathing | 同性共浴
[DOMAIN:标签] [CAT:场景/室内家居] sliding_doors | 推拉门
[DOMAIN:标签] [CAT:场景/奇幻幻想] ruins | 遗迹
[DOMAIN:标签] [CAT:场景/室内家居] on_sofa | 在沙发上
[DOMAIN:标签] [CAT:场景/室内家居] checkered_floor | 方格地板
[DOMAIN:标签] [CAT:场景/特殊场所] swimming_pool | 游泳池
[DOMAIN:标签] [CAT:场景/城市街景] power_lines | 电力线
[DOMAIN:标签] [CAT:场景/城市街景] bridge | 桥梁
[DOMAIN:标签] [CAT:场景/城市街景] lamppost | 路灯
[DOMAIN:标签] [CAT:场景/室内家居] bathtub | 浴缸
[DOMAIN:标签] [CAT:场景/其他] pillar | 立柱
[DOMAIN:标签] [CAT:场景/室内家居] tile_wall | 瓷砖墙
[DOMAIN:标签] [CAT:场景/特殊场所] poolside | 泳池边
[DOMAIN:标签] [CAT:场景/城市街景] street | 街道
[DOMAIN:标签] [CAT:场景/其他] chain-link_fence | 链环围栏
[DOMAIN:标签] [CAT:场景/城市街景] skyscraper | 摩天大楼
[DOMAIN:标签] [CAT:场景/交通载具] train_interior | 列车内部
[DOMAIN:标签] [CAT:场景/奇幻幻想] castle | 城堡
[DOMAIN:标签] [CAT:场景/自然户外] forest_background | 森林背景
[DOMAIN:标签] [CAT:场景/特殊场所] mixed-sex_bathing | 混浴
[DOMAIN:标签] [CAT:场景/自然户外] on_grass | 在草地上
[DOMAIN:标签] [CAT:场景/室内家居] kitchen | 厨房
[DOMAIN:标签] [CAT:场景/室内家居] on_desk | 桌上
[DOMAIN:标签] [CAT:场景/公共设施] bar | 酒吧
[DOMAIN:标签] [CAT:场景/公共设施] school | 学校
[DOMAIN:标签] [CAT:场景/特殊场所] stage | 舞台
[DOMAIN:标签] [CAT:场景/城市街景] tower | 塔
[DOMAIN:标签] [CAT:场景/室内家居] open_door | 敞开的门
[DOMAIN:标签] [CAT:场景/其他] indoor_nudity | 室内裸体
[DOMAIN:标签] [CAT:场景/室内家居] doorway | 门廊
[DOMAIN:标签] [CAT:场景/公共设施] shop | 商店
[DOMAIN:标签] [CAT:场景/交通载具] inside_vehicle | 车内视角
[DOMAIN:标签] [CAT:场景/自然户外] shore | 海岸
[DOMAIN:标签] [CAT:场景/公共设施] public_restroom | 公共卫生间
[DOMAIN:标签] [CAT:场景/公共设施] library | 图书馆
[DOMAIN:标签] [CAT:场景/交通载具] inside_car | 车内场景
[DOMAIN:标签] [CAT:场景/室内家居] ceiling | 天花板
[DOMAIN:标签] [CAT:场景/交通载具] flight_deck | 飞行甲板
[DOMAIN:标签] [CAT:场景/奇幻幻想] shrine | 神社
[DOMAIN:标签] [CAT:场景/城市街景] rooftop | 屋顶
[DOMAIN:标签] [CAT:场景/室内家居] floor | 地面
[DOMAIN:标签] [CAT:场景/室内家居] shouji | 障子
[DOMAIN:标签] [CAT:场景/公共设施] bar_(place) | 酒吧
[DOMAIN:标签] [CAT:场景/交通载具] train | 列车
[DOMAIN:标签] [CAT:场景/自然户外] on_bench | 在长椅上
[DOMAIN:标签] [CAT:场景/城市街景] smokestack | 烟囱
[DOMAIN:标签] [CAT:场景/城市街景] city_lights | 城市灯光
[DOMAIN:标签] [CAT:场景/特殊场所] hot_spring | 温泉
[DOMAIN:标签] [CAT:场景/其他] bedroom_sex | 卧室性爱
[DOMAIN:标签] [CAT:场景/室内家居] hallway | 走廊
[DOMAIN:标签] [CAT:场景/其他] in_box | 盒装
[DOMAIN:标签] [CAT:场景/室内家居] on_table | 置于桌上
[DOMAIN:标签] [CAT:场景/自然户外] in_tree | 在树上
[DOMAIN:标签] [CAT:场景/公共设施] locker_room | 更衣室
[DOMAIN:标签] [CAT:场景/自然户外] path | 小径
[DOMAIN:标签] [CAT:场景/特殊场所] wedding | 婚礼
[DOMAIN:标签] [CAT:场景/公共设施] restaurant | 餐厅
[DOMAIN:标签] [CAT:场景/交通载具] car_interior | 车内空间
[DOMAIN:标签] [CAT:场景/公共设施] restroom_stall | 卫生间隔间
[DOMAIN:标签] [CAT:场景/室内家居] reflective_floor | 反光地板
[DOMAIN:标签] [CAT:场景/室内家居] walk-in | 步入式空间
[DOMAIN:标签] [CAT:场景/城市街景] town | 城镇
[DOMAIN:标签] [CAT:场景/奇幻幻想] church | 教堂
[DOMAIN:标签] [CAT:场景/室内家居] balcony | 阳台
[DOMAIN:标签] [CAT:场景/城市街景] city_background | 城市背景
[DOMAIN:标签] [CAT:场景/其他] harem | 后宫
[DOMAIN:标签] [CAT:场景/城市街景] alley | 小巷
[DOMAIN:标签] [CAT:场景/公共设施] cafe | 咖啡馆
[DOMAIN:标签] [CAT:场景/公共设施] store | 商店
[DOMAIN:标签] [CAT:场景/其他] rubble | 瓦砾
[DOMAIN:标签] [CAT:场景/室内家居] under_table | 桌下
[DOMAIN:标签] [CAT:场景/特殊场所] festival | 祭典
[DOMAIN:标签] [CAT:场景/公共设施] office | 办公室
[DOMAIN:标签] [CAT:场景/室内家居] window_blinds | 百叶窗
[DOMAIN:标签] [CAT:场景/城市街景] railroad_tracks | 铁轨
[DOMAIN:标签] [CAT:场景/室内家居] wooden_wall | 木墙
[DOMAIN:标签] [CAT:场景/室内家居] shower_(place) | 淋浴间
[DOMAIN:标签] [CAT:场景/自然户外] park_bench | 公园长椅
[DOMAIN:标签] [CAT:场景/城市街景] neon_lights | 霓虹灯
[DOMAIN:标签] [CAT:场景/公共设施] train_station | 火车站
[DOMAIN:标签] [CAT:场景/城市街景] skyline | 天际线
[DOMAIN:标签] [CAT:场景/室内家居] veranda | 阳台
[DOMAIN:标签] [CAT:场景/城市街景] crosswalk | 人行横道
[DOMAIN:标签] [CAT:场景/室内家居] open_window | 开窗
[DOMAIN:标签] [CAT:场景/室内家居] stone_floor | 石地板
[DOMAIN:标签] [CAT:场景/城市街景] pavement | 人行道
[DOMAIN:标签] [CAT:场景/其他] real_world_location | 现实地点
[DOMAIN:标签] [CAT:场景/城市街景] stone_wall | 石墙
[DOMAIN:标签] [CAT:场景/交通载具] cockpit | 驾驶舱
[DOMAIN:标签] [CAT:场景/公共设施] stadium | 体育场
[DOMAIN:标签] [CAT:场景/奇幻幻想] wizarding_world | 魔法世界
[DOMAIN:标签] [CAT:场景/公共设施] gym | 健身房
[DOMAIN:标签] [CAT:场景/其他] lawson | 罗森
[DOMAIN:标签] [CAT:场景/自然户外] garden | 花园
[DOMAIN:标签] [CAT:场景/自然户外] graveyard | 墓地
[DOMAIN:标签] [CAT:场景/自然户外] park | 公园
[DOMAIN:标签] [CAT:场景/特殊场所] concert | 音乐会
[DOMAIN:标签] [CAT:场景/奇幻幻想] scarlet_devil_mansion | 红魔馆
[DOMAIN:标签] [CAT:场景/特殊场所] ferris_wheel | 摩天轮
[DOMAIN:标签] [CAT:场景/公共设施] gym_storeroom | 体育馆储藏室
[DOMAIN:标签] [CAT:场景/奇幻幻想] luigi's_mansion | 路易吉洋楼
[DOMAIN:标签] [CAT:场景/室内家居] fireplace | 壁炉
[DOMAIN:标签] [CAT:场景/特殊场所] amagi_brilliant_park | 甘城光辉游乐园
[DOMAIN:标签] [CAT:场景/城市街景] sidewalk | 人行道
[DOMAIN:标签] [CAT:场景/自然户外] on_rock | 岩石上
[DOMAIN:标签] [CAT:场景/自然户外] campfire | 篝火
[DOMAIN:标签] [CAT:场景/自然户外] fountain | 喷泉
[DOMAIN:标签] [CAT:场景/其他] in-universe_location | 作品内地点
[DOMAIN:标签] [CAT:场景/城市街景] clock_tower | 钟楼
[DOMAIN:标签] [CAT:场景/特殊场所] summer_festival | 夏日祭
[DOMAIN:标签] [CAT:场景/室内家居] round_window | 圆窗
[DOMAIN:标签] [CAT:场景/自然户外] picnic | 野餐
[DOMAIN:标签] [CAT:场景/公共设施] hospital_bed | 病床
[DOMAIN:标签] [CAT:场景/交通载具] on_car | 车上
[DOMAIN:标签] [CAT:场景/城市街景] bus_stop | 公交车站
[DOMAIN:标签] [CAT:场景/室内家居] chimney | 烟囱
[DOMAIN:标签] [CAT:场景/室内家居] under_kotatsu | 在被炉下
[DOMAIN:标签] [CAT:场景/特殊场所] wrestling_ring | 摔角擂台
[DOMAIN:标签] [CAT:场景/其他] shopping | 购物
[DOMAIN:标签] [CAT:场景/公共设施] convenience_store | 便利店
[DOMAIN:标签] [CAT:场景/室内家居] cracked_wall | 裂缝墙
[DOMAIN:标签] [CAT:场景/其他] in_cup | 杯中
[DOMAIN:标签] [CAT:场景/其他] toilet_use | 如厕场景
[DOMAIN:标签] [CAT:场景/特殊场所] wading_pool | 涉水池
[DOMAIN:标签] [CAT:场景/自然户外] under_tree | 树下
[DOMAIN:标签] [CAT:场景/室内家居] brick_floor | 砖地
[DOMAIN:标签] [CAT:场景/其他] post-apocalypse | 后末日
[DOMAIN:标签] [CAT:场景/其他] brick | 砖块
[DOMAIN:标签] [CAT:场景/公共设施] aquarium | 水族馆
[DOMAIN:标签] [CAT:场景/室内家居] apartment | 公寓楼
[DOMAIN:标签] [CAT:场景/其他] war | 战争
[DOMAIN:标签] [CAT:场景/室内家居] blinds | 百叶窗
[DOMAIN:标签] [CAT:场景/特殊场所] sauna | 桑拿
[DOMAIN:标签] [CAT:场景/自然户外] lighthouse | 灯塔
[DOMAIN:标签] [CAT:场景/室内家居] messy_room | 凌乱房间
[DOMAIN:标签] [CAT:场景/自然户外] stone_stairs | 石阶
[DOMAIN:标签] [CAT:场景/城市街景] on_roof | 屋顶上
[DOMAIN:标签] [CAT:场景/特殊场所] rave | 锐舞
[DOMAIN:标签] [CAT:场景/室内家居] windowsill | 窗台
[DOMAIN:标签] [CAT:场景/室内家居] porch | 门廊
[DOMAIN:标签] [CAT:场景/自然户外] pier | 码头
[DOMAIN:标签] [CAT:场景/城市街景] storefront | 店铺门面
[DOMAIN:标签] [CAT:场景/奇幻幻想] onbashira | 御柱
[DOMAIN:标签] [CAT:场景/特殊场所] karaoke | 卡拉OK
[DOMAIN:标签] [CAT:场景/自然户外] sand_castle | 沙堡
[DOMAIN:标签] [CAT:场景/自然户外] windmill | 风车
[DOMAIN:标签] [CAT:场景/其他] united_states | 美国
[DOMAIN:标签] [CAT:场景/公共设施] toilet_stall | 厕所隔间
[DOMAIN:标签] [CAT:场景/室内家居] cracked_floor | 开裂的地板
[DOMAIN:标签] [CAT:场景/奇幻幻想] multiple_torii | 多重鸟居
[DOMAIN:标签] [CAT:场景/其他] tokyo_(city) | 东京（城市）
[DOMAIN:标签] [CAT:场景/其他] glory_wall | 荣耀之墙
[DOMAIN:标签] [CAT:场景/奇幻幻想] pagoda | 宝塔
[DOMAIN:标签] [CAT:场景/特殊场所] easter | 复活节
[DOMAIN:标签] [CAT:场景/公共设施] hospital | 医院
[DOMAIN:标签] [CAT:场景/公共设施] infirmary | 医务室
[DOMAIN:标签] [CAT:场景/室内家居] loaded_interior | 满载内饰
[DOMAIN:标签] [CAT:场景/特殊场所] casino | 赌场
[DOMAIN:标签] [CAT:场景/室内家居] elevator | 电梯
[DOMAIN:标签] [CAT:场景/其他] japan | 日本
[DOMAIN:标签] [CAT:场景/自然户外] dock | 码头
[DOMAIN:标签] [CAT:场景/自然户外] jungle | 丛林
[DOMAIN:标签] [CAT:场景/其他] soviet | 苏联
[DOMAIN:标签] [CAT:场景/其他] final_fight | 最终决战
[DOMAIN:标签] [CAT:场景/特殊场所] comiket_102 | Comic Market 102
[DOMAIN:标签] [CAT:场景/城市街景] cobblestone | 鹅卵石
[DOMAIN:标签] [CAT:场景/公共设施] restroom | 洗手间
[DOMAIN:标签] [CAT:场景/室内家居] shower_room | 淋浴间
[DOMAIN:标签] [CAT:场景/奇幻幻想] hakurei_shrine | 博丽神社
[DOMAIN:标签] [CAT:场景/特殊场所] comiket_103 | 第103届漫展
[DOMAIN:标签] [CAT:场景/室内家居] booth_seating | 卡座席位
[DOMAIN:标签] [CAT:场景/奇幻幻想] temple | 寺庙
[DOMAIN:标签] [CAT:场景/特殊场所] mira-cra_park! | 未来疯狂乐园！
[DOMAIN:标签] [CAT:场景/公共设施] fitting_room | 试衣间
[DOMAIN:标签] [CAT:场景/奇幻幻想] subterranean_animism | 地灵殿
[DOMAIN:标签] [CAT:场景/公共设施] prison | 监狱
[DOMAIN:标签] [CAT:场景/其他] abandoned | 被遗弃的
[DOMAIN:标签] [CAT:场景/特殊场所] red_carpet | 红地毯
[DOMAIN:标签] [CAT:场景/奇幻幻想] dungeon | 地牢
[DOMAIN:标签] [CAT:场景/特殊场所] rei_no_pool | 丽之泳池
[DOMAIN:标签] [CAT:场景/自然户外] village | 村庄
[DOMAIN:标签] [CAT:场景/室内家居] interior | 室内场景
[DOMAIN:标签] [CAT:场景/城市街景] urban | 都市风
[DOMAIN:标签] [CAT:场景/城市街景] lane_line | 车道线
[DOMAIN:标签] [CAT:场景/特殊场所] bathhouse | 澡堂
[DOMAIN:标签] [CAT:场景/城市街景] railroad_crossing | 铁路道口
[DOMAIN:标签] [CAT:场景/自然户外] rural | 乡村
[DOMAIN:标签] [CAT:场景/特殊场所] amusement_park | 游乐园
[DOMAIN:标签] [CAT:场景/其他] dating | 约会
[DOMAIN:标签] [CAT:场景/自然户外] playground | 游乐场
[DOMAIN:标签] [CAT:场景/公共设施] prison_cell | 牢房
[DOMAIN:标签] [CAT:场景/城市街景] market_stall | 市场摊位
[DOMAIN:标签] [CAT:场景/交通载具] vehicle_interior | 车辆内饰
[DOMAIN:标签] [CAT:场景/特殊场所] hoyofair | 星穹漫展
[DOMAIN:标签] [CAT:场景/特殊场所] party | 派对
[DOMAIN:标签] [CAT:场景/公共设施] movie_theater | 电影院
[DOMAIN:标签] [CAT:场景/室内家居] dark_room | 暗室
[DOMAIN:标签] [CAT:场景/交通载具] on_tank | 在坦克上
[DOMAIN:标签] [CAT:场景/其他] tactile_paving | 盲道地砖
[DOMAIN:标签] [CAT:场景/室内家居] mansion | 宅邸
[DOMAIN:标签] [CAT:场景/公共设施] changing_room | 更衣室
[DOMAIN:标签] [CAT:场景/特殊场所] arcade | 街机厅
[DOMAIN:标签] [CAT:场景/室内家居] living_room | 客厅
[DOMAIN:标签] [CAT:场景/其他] blood_on_wall | 墙上血迹
[DOMAIN:标签] [CAT:场景/室内家居] tile_ceiling | 瓷砖天花板
[DOMAIN:标签] [CAT:场景/公共设施] clothing_store | 服装店
[DOMAIN:标签] [CAT:场景/奇幻幻想] pyramid_(structure) | 金字塔（建筑）
[DOMAIN:标签] [CAT:场景/公共设施] school_days | 校园时光
[DOMAIN:标签] [CAT:场景/城市街景] transmission_tower | 输电塔
[DOMAIN:标签] [CAT:场景/公共设施] running_track | 跑道
[DOMAIN:标签] [CAT:场景/交通载具] hangar | 机库
[DOMAIN:标签] [CAT:场景/城市街景] awning | 遮阳篷
[DOMAIN:标签] [CAT:场景/交通载具] dirigible | 飞艇
[DOMAIN:标签] [CAT:场景/特殊场所] hinamatsuri | 雏祭
[DOMAIN:标签] [CAT:场景/交通载具] bus_interior | 巴士内部
[DOMAIN:标签] [CAT:场景/公共设施] train_station_platform | 火车站站台
[DOMAIN:标签] [CAT:场景/交通载具] spacecraft_interior | 飞船内部
[DOMAIN:标签] [CAT:场景/城市街景] european_architecture | 欧式建筑
[DOMAIN:标签] [CAT:场景/公共设施] baseball_stadium | 棒球场
[DOMAIN:标签] [CAT:场景/特殊场所] spa | 水疗
[DOMAIN:标签] [CAT:场景/公共设施] laboratory | 实验室
[DOMAIN:标签] [CAT:场景/奇幻幻想] mountain_of_faith | 信仰之山
[DOMAIN:标签] [CAT:场景/其他] glory_hole | 窥视孔
[DOMAIN:标签] [CAT:场景/特殊场所] racetrack | 赛道
[DOMAIN:标签] [CAT:场景/特殊场所] yatai | 屋台
[DOMAIN:标签] [CAT:场景/特殊场所] hatsumoude | 初诣
[DOMAIN:标签] [CAT:场景/公共设施] coffee_shop | 咖啡店
[DOMAIN:标签] [CAT:场景/其他] russia | 俄罗斯
[DOMAIN:标签] [CAT:场景/奇幻幻想] aztec | 阿兹特克
[DOMAIN:标签] [CAT:场景/室内家居] greenhouse | 温室
[DOMAIN:标签] [CAT:场景/其他] traffic | traffic: 交通
[DOMAIN:标签] [CAT:场景/城市街景] tunnel | 隧道
[DOMAIN:标签] [CAT:场景/其他] dome | 穹顶
[DOMAIN:标签] [CAT:场景/其他] racing | 竞速
[DOMAIN:标签] [CAT:场景/室内家居] tile_roof | 瓦片屋顶
[DOMAIN:标签] [CAT:场景/其他] hooters | 猫头鹰餐厅
[DOMAIN:标签] [CAT:场景/室内家居] bubble_bath | 泡泡浴
[DOMAIN:标签] [CAT:场景/公共设施] kindergarten | 幼儿园
[DOMAIN:标签] [CAT:场景/特殊场所] battlefield | 战场
[DOMAIN:标签] [CAT:场景/自然户外] stone_walkway | stone walkway: 石径
[DOMAIN:标签] [CAT:场景/特殊场所] sports_festival | 体育祭
[DOMAIN:标签] [CAT:场景/自然户外] camping | 露营
[DOMAIN:标签] [CAT:场景/公共设施] bakery | 面包店
[DOMAIN:标签] [CAT:场景/城市街景] canal | 运河
[DOMAIN:标签] [CAT:场景/自然户外] dirt_road | 泥土路
[DOMAIN:标签] [CAT:场景/其他] underground | 地下
[DOMAIN:标签] [CAT:场景/特殊场所] boxing_ring | 拳击台
[DOMAIN:标签] [CAT:场景/奇幻幻想] field_of_blades | 刃原
[DOMAIN:标签] [CAT:场景/其他] in_bowl | 在碗中
[DOMAIN:标签] [CAT:场景/其他] invisible_floor | 隐形地板
[DOMAIN:标签] [CAT:场景/其他] liver_city | 利物浦市
[DOMAIN:标签] [CAT:场景/室内家居] entrance | 入口
[DOMAIN:标签] [CAT:场景/公共设施] tennis_court | 网球场
[DOMAIN:标签] [CAT:场景/自然户外] flower_bed | 花坛
[DOMAIN:标签] [CAT:场景/交通载具] on_boat | 船上
[DOMAIN:标签] [CAT:场景/其他] atelier_live | 工作室直播
[DOMAIN:标签] [CAT:场景/特殊场所] water_slide | 水滑梯
[DOMAIN:标签] [CAT:场景/奇幻幻想] in_orbit | 在轨运行
[DOMAIN:标签] [CAT:场景/自然户外] cave_interior | 洞穴内部
[DOMAIN:标签] [CAT:场景/其他] tokyo_big_sight | 东京国际展示场
[DOMAIN:标签] [CAT:场景/城市街景] broken_wall | 破损墙壁
[DOMAIN:标签] [CAT:场景/奇幻幻想] witch's_labyrinth | 魔女迷宫
[DOMAIN:标签] [CAT:场景/其他] mexico | 墨西哥
[DOMAIN:标签] [CAT:场景/城市街景] market | 市场
[DOMAIN:标签] [CAT:场景/特殊场所] roller_coaster | 过山车
[DOMAIN:标签] [CAT:场景/城市街景] harbor | 港口
[DOMAIN:标签] [CAT:场景/其他] after_battle | 战后
[DOMAIN:标签] [CAT:场景/其他] italy | 意大利
