[DOMAIN:标签] [CAT:画面/元数据] highres | 高分辨率
[DOMAIN:标签] [CAT:画面/元数据] hi_res | 高分辨率
[DOMAIN:标签] [CAT:画面/背景] simple_background | 简单背景
[DOMAIN:标签] [CAT:画面/元数据] absurdres | 超高分辨率
[DOMAIN:标签] [CAT:画面/背景] white_background | 白色背景
[DOMAIN:标签] [CAT:画面/画风画派] digital_media_(artwork) | 数字媒体（艺术作品）
[DOMAIN:标签] [CAT:画面/元数据] absurd_res | 超高分辨率
[DOMAIN:标签] [CAT:画面/颜色风格] monochrome | 单色
[DOMAIN:标签] [CAT:画面/画风画派] comic | 漫画
[DOMAIN:标签] [CAT:画面/元数据] dialogue | 对话
[DOMAIN:标签] [CAT:画面/颜色风格] greyscale | 灰度
[DOMAIN:标签] [CAT:画面/背景] heart_symbol | 心形符号
[DOMAIN:标签] [CAT:画面/元数据] official_art | 官方立绘
[DOMAIN:标签] [CAT:画面/背景] speech_bubble | 对话气泡
[DOMAIN:标签] [CAT:画面/背景] grey_background | 灰色背景
[DOMAIN:标签] [CAT:画面/画风画派] chibi | Q版
[DOMAIN:标签] [CAT:排除/媒体噪音] english_text | 英文文本
[DOMAIN:标签] [CAT:画面/质感特效] blurry | 模糊
[DOMAIN:标签] [CAT:画面/背景] detailed_background | 精细背景
[DOMAIN:标签] [CAT:画面/元数据] dated | 过时
[DOMAIN:标签] [CAT:画面/画风画派] shaded | 渐变阴影
[DOMAIN:标签] [CAT:画面/画风画派] digital_drawing_(artwork) | 数字绘画
[DOMAIN:标签] [CAT:画面/画风画派] 3d_(artwork) | 3D作品
[DOMAIN:标签] [CAT:画面/画风画派] sketch | 草图
[DOMAIN:标签] [CAT:画面/元数据] bar_censor | 条形码遮挡
[DOMAIN:标签] [CAT:画面/氛围光影] sparkle | 闪光
[DOMAIN:标签] [CAT:画面/背景] gradient_background | 渐变背景
[DOMAIN:标签] [CAT:画面/元数据] border | 边界
[DOMAIN:标签] [CAT:画面/元数据] uncensored | 无修正
[DOMAIN:标签] [CAT:画面/背景] blurry_background | 模糊背景
[DOMAIN:标签] [CAT:画面/背景] blue_background | 蓝色背景
[DOMAIN:标签] [CAT:画面/氛围光影] shadow | 阴影
[DOMAIN:标签] [CAT:画面/氛围光影] glistening | 光泽
[DOMAIN:标签] [CAT:画面/氛围光影] glowing | 发光
[DOMAIN:标签] [CAT:画面/元数据] 4koma | 四格漫画
[DOMAIN:标签] [CAT:画面/元数据] lowres | 低分辨率
[DOMAIN:标签] [CAT:画面/背景] pink_background | 粉色背景
[DOMAIN:标签] [CAT:画面/画风画派] traditional_media | 传统媒介
[DOMAIN:标签] [CAT:排除/媒体噪音] transparent_background | 透明背景
[DOMAIN:标签] [CAT:画面/元数据] scan | 扫描图
[DOMAIN:标签] [CAT:画面/元数据] white_border | 白边
[DOMAIN:标签] [CAT:画面/画风画派] animated | 动画风格
[DOMAIN:标签] [CAT:画面/颜色风格] colored | 彩色
[DOMAIN:标签] [CAT:画面/背景] black_background | 黑色背景
[DOMAIN:标签] [CAT:画面/元数据] parody | 戏仿作品
[DOMAIN:标签] [CAT:画面/元数据] bara | 蔷薇
[DOMAIN:标签] [CAT:画面/质感特效] motion_lines | 速度线
[DOMAIN:标签] [CAT:画面/颜色风格] black_and_white | 黑白
[DOMAIN:标签] [CAT:画面/元数据] yaoi | 耽美
[DOMAIN:标签] [CAT:画面/元数据] game_cg | 游戏CG
[DOMAIN:标签] [CAT:画面/质感特效] squish | 挤压变形
[DOMAIN:标签] [CAT:画面/背景] yellow_background | 黄色背景
[DOMAIN:标签] [CAT:画面/背景] red_background | 红色背景
[DOMAIN:标签] [CAT:画面/元数据] onomatopoeia | 拟声词
[DOMAIN:标签] [CAT:画面/元数据] revision | 修订
[DOMAIN:标签] [CAT:画面/画风画派] shaded_face | 阴影面部
[DOMAIN:标签] [CAT:画面/元数据] letterboxed | 信箱模式
[DOMAIN:标签] [CAT:画面/氛围光影] light_particles | 光粒
[DOMAIN:标签] [CAT:画面/元数据] outside_border | 外边框
[DOMAIN:标签] [CAT:画面/画风画派] 3d_animation | 3D动画
[DOMAIN:标签] [CAT:画面/元数据] meme | 梗图
[DOMAIN:标签] [CAT:画面/元数据] cover_page | 封面页
[DOMAIN:标签] [CAT:画面/画风画派] outline | 轮廓
[DOMAIN:标签] [CAT:画面/画风画派] 2d_animation | 2D动画
[DOMAIN:标签] [CAT:画面/背景] two-tone_background | 双色背景
[DOMAIN:标签] [CAT:画面/质感特效] star | 星星
[DOMAIN:标签] [CAT:画面/氛围光影] light | 光线
[DOMAIN:标签] [CAT:画面/背景] green_background | 绿色背景
[DOMAIN:标签] [CAT:画面/画风画派] science_fiction | 科幻
[DOMAIN:标签] [CAT:画面/元数据] low_res | 低分辨率
[DOMAIN:标签] [CAT:画面/背景] brown_background | 棕色背景
[DOMAIN:标签] [CAT:画面/背景] purple_background | 紫色背景
[DOMAIN:标签] [CAT:画面/颜色风格] spot_color | 点缀色
[DOMAIN:标签] [CAT:画面/背景] reflection | 倒影
[DOMAIN:标签] [CAT:画面/元数据] loop | 循环
[DOMAIN:标签] [CAT:画面/元数据] one-hour_drawing_challenge | 一小时绘画挑战
[DOMAIN:标签] [CAT:画面/氛围光影] backlighting | 逆光
[DOMAIN:标签] [CAT:画面/质感特效] emphasis_lines | 强调线
[DOMAIN:标签] [CAT:画面/元数据] 4k | 4K分辨率
[DOMAIN:标签] [CAT:画面/画风画派] digital_painting_(artwork) | 数字绘画（艺术作品）
[DOMAIN:标签] [CAT:画面/元数据] doujin_cover | 同人志封面
[DOMAIN:标签] [CAT:画面/质感特效] blurry_foreground | 前景模糊
[DOMAIN:标签] [CAT:画面/质感特效] notice_lines | 注意线
[DOMAIN:标签] [CAT:画面/颜色风格] highlights_(coloring) | 高光（着色）
[DOMAIN:标签] [CAT:画面/背景] orange_background | 橙色背景
[DOMAIN:标签] [CAT:排除/媒体噪音] chinese_text | 中文文本
[DOMAIN:标签] [CAT:画面/元数据] 2koma | 四格漫画
[DOMAIN:标签] [CAT:画面/画风画派] white_outline | 白色轮廓
[DOMAIN:标签] [CAT:画面/颜色风格] blue_theme | 蓝色主题
[DOMAIN:标签] [CAT:画面/氛围光影] glint | 反光
[DOMAIN:标签] [CAT:画面/氛围光影] light_rays | 光线
[DOMAIN:标签] [CAT:画面/画风画派] oekaki | お絵描き
[DOMAIN:标签] [CAT:画面/质感特效] motion_blur | 动态模糊
[DOMAIN:标签] [CAT:画面/质感特效] chromatic_aberration | 色差
[DOMAIN:标签] [CAT:画面/元数据] sound_effects | 音效文字
[DOMAIN:标签] [CAT:画面/画风画派] contemporary | 当代风格
[DOMAIN:标签] [CAT:画面/元数据] pixel-perfect_duplicate | 像素级复刻
[DOMAIN:标签] [CAT:画面/元数据] frame_by_frame | 逐帧绘制
[DOMAIN:标签] [CAT:画面/元数据] alternate_color | 异色版
[DOMAIN:标签] [CAT:画面/画风画派] realistic | 写实风格
[DOMAIN:标签] [CAT:画面/背景] floral_background | 花卉背景
[DOMAIN:标签] [CAT:画面/画风画派] chibi_only | 仅Q版
[DOMAIN:标签] [CAT:画面/元数据] animated_gif | 动态GIF
[DOMAIN:标签] [CAT:画面/画风画派] tachi-e | 立绘
[DOMAIN:标签] [CAT:画面/氛围光影] sparkles | 闪光
[DOMAIN:标签] [CAT:画面/画风画派] flat_colors | 平涂色块
[DOMAIN:标签] [CAT:画面/元数据] censor_bar | 审查条
[DOMAIN:标签] [CAT:画面/元数据] card_(medium) | 卡片（中号）
[DOMAIN:标签] [CAT:画面/画风画派] painting_(medium) | 画作（中号）
