[DOMAIN:标签] [CAT:服饰/其他] clothing | 衣物
[DOMAIN:标签] [CAT:服饰/日常便服] shirt | 衬衫
[DOMAIN:标签] [CAT:服饰/日常便服] long_sleeves | 长袖
[DOMAIN:标签] [CAT:服饰/日常便服] skirt | 裙子
[DOMAIN:标签] [CAT:服饰/头饰] hair_ornament | 发饰
[DOMAIN:标签] [CAT:服饰/配饰] gloves | 手套
[DOMAIN:标签] [CAT:服饰/洋装礼服] dress | 连衣裙
[DOMAIN:标签] [CAT:服饰/头饰] hat | 帽子
[DOMAIN:标签] [CAT:服饰/头饰] bow | 蝴蝶结
[DOMAIN:标签] [CAT:服饰/鞋袜] thighhighs | 大腿袜：长筒袜：过膝袜
[DOMAIN:标签] [CAT:服饰/其他] clothed | 穿着衣物
[DOMAIN:标签] [CAT:服饰/配饰] ribbon | 缎带
[DOMAIN:标签] [CAT:服饰/配饰] jewelry | 珠宝
[DOMAIN:标签] [CAT:服饰/外套大衣] jacket | 夹克
[DOMAIN:标签] [CAT:服饰/日常便服] white_shirt | 白衬衫
[DOMAIN:标签] [CAT:服饰/泳装内衣] underwear | 内衣
[DOMAIN:标签] [CAT:服饰/制服校服] school_uniform | 校服
[DOMAIN:标签] [CAT:服饰/泳装内衣] swimsuit | 泳装
[DOMAIN:标签] [CAT:服饰/泳装内衣] panties | 内裤
[DOMAIN:标签] [CAT:服饰/日常便服] short_sleeves | 短袖
[DOMAIN:标签] [CAT:服饰/头饰] hair_ribbon | 发带
[DOMAIN:标签] [CAT:服饰/头饰] earrings | 耳环
[DOMAIN:标签] [CAT:服饰/日常便服] topwear | 上装
[DOMAIN:标签] [CAT:服饰/头饰] hair_bow | 蝴蝶结发饰
[DOMAIN:标签] [CAT:服饰/鞋袜] pantyhose | 连裤袜
[DOMAIN:标签] [CAT:服饰/泳装内衣] bikini | 比基尼
[DOMAIN:标签] [CAT:服饰/制服校服] pleated_skirt | 百褶裙
[DOMAIN:标签] [CAT:服饰/洋装礼服] frills | 荷叶边
[DOMAIN:标签] [CAT:服饰/其他] open_clothes | 敞开衣物
[DOMAIN:标签] [CAT:服饰/头饰] hairband | 发带
[DOMAIN:标签] [CAT:服饰/鞋袜] boots | 靴子
[DOMAIN:标签] [CAT:服饰/日常便服] collared_shirt | 有领衬衫
[DOMAIN:标签] [CAT:服饰/制服校服] necktie | 领带
[DOMAIN:标签] [CAT:服饰/日常便服] shorts | 短裤
