[DOMAIN:标签] [CAT:镜头/人物构图] solo | 单人
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_at_viewer | 看向观众
[DOMAIN:标签] [CAT:镜头/人物构图] duo | 双人
[DOMAIN:标签] [CAT:镜头/人物构图] full_body | 全身
[DOMAIN:标签] [CAT:镜头/人物构图] upper_body | 上半身
[DOMAIN:标签] [CAT:镜头/人物构图] cowboy_shot | 牛仔式构图
[DOMAIN:标签] [CAT:镜头/人物构图] group | 群体
[DOMAIN:标签] [CAT:镜头/效果] censored | 打码
[DOMAIN:标签] [CAT:镜头/人物构图] solo_focus | 单人焦点
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_at_another | 注视他人
[DOMAIN:标签] [CAT:镜头/镜头角度] from_behind | 背视
[DOMAIN:标签] [CAT:镜头/镜头角度] from_side | 侧视
[DOMAIN:标签] [CAT:镜头/镜头角度] inside | 体内视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_to_the_side | 侧视
[DOMAIN:标签] [CAT:镜头/镜头角度] rear_view | 后视视角
[DOMAIN:标签] [CAT:镜头/其他沟通] multiple_views | 多视角
[DOMAIN:标签] [CAT:镜头/人物构图] feet_out_of_frame | 足部出框
[DOMAIN:标签] [CAT:镜头/镜头角度] front_view | 前视视角
[DOMAIN:标签] [CAT:镜头/人物构图] trio | 三人组
[DOMAIN:标签] [CAT:镜头/镜头角度] pov | 视角
[DOMAIN:标签] [CAT:镜头/镜头角度] dutch_angle | 斜角镜头
[DOMAIN:标签] [CAT:镜头/镜头角度] from_front_position | 正面视角
[DOMAIN:标签] [CAT:镜头/效果] depth_of_field | 景深
[DOMAIN:标签] [CAT:镜头/镜头角度] from_above | 俯视视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_down | 向下看
[DOMAIN:标签] [CAT:镜头/人物构图] ass_visible_through_thighs | 股间见臀
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] first_person_view | 第一人称视角
[DOMAIN:标签] [CAT:镜头/镜头角度] from_below | 仰视视角
[DOMAIN:标签] [CAT:镜头/人物构图] portrait | 肖像画
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] eyes_visible_through_hair | 透发可见的眼睛
[DOMAIN:标签] [CAT:镜头/人物构图] female_focus | 女性焦点
[DOMAIN:标签] [CAT:镜头/特写镜头] pantyshot | 底裤走光
[DOMAIN:标签] [CAT:镜头/镜头角度] side_view | 侧视图
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] facing_viewer | 面向观众
[DOMAIN:标签] [CAT:镜头/镜头角度] on_front | 正面视角
[DOMAIN:标签] [CAT:镜头/镜头角度] foreshortening | 前缩透视
[DOMAIN:标签] [CAT:镜头/人物构图] three-quarter_portrait | 四分之三侧面肖像
[DOMAIN:标签] [CAT:镜头/镜头角度] low-angle_view | 低角度视角
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_back_at_viewer | 回眸注视
[DOMAIN:标签] [CAT:镜头/人物构图] cropped_legs | 截断腿部
[DOMAIN:标签] [CAT:镜头/特写镜头] close-up | 特写镜头
[DOMAIN:标签] [CAT:镜头/人物构图] cropped_torso | 截断躯干
[DOMAIN:标签] [CAT:镜头/效果] one_eye_obstructed | 单眼遮挡
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] male_pov | 男性视角
[DOMAIN:标签] [CAT:镜头/效果] lens_flare | 镜头光晕
[DOMAIN:标签] [CAT:镜头/特写镜头] macro | 巨观
[DOMAIN:标签] [CAT:镜头/其他沟通] out_of_frame | 画框外
[DOMAIN:标签] [CAT:镜头/镜头角度] upskirt | 裙底视角
[DOMAIN:标签] [CAT:镜头/特写镜头] butt_focus | 臀部特写
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] talking_to_viewer | 对观众说话
[DOMAIN:标签] [CAT:镜头/镜头角度] three-quarter_view | 四分之三视角
[DOMAIN:标签] [CAT:镜头/镜头角度] straight-on | 正面视角
[DOMAIN:标签] [CAT:镜头/特写镜头] ass_focus | 臀部特写
[DOMAIN:标签] [CAT:镜头/人物构图] duo_focus | 双人焦点
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] looking_away | 视线移开
[DOMAIN:标签] [CAT:镜头/镜头角度] upside-down | 倒置
[DOMAIN:标签] [CAT:镜头/其他沟通] foot_out_of_frame | 脚部出框
[DOMAIN:标签] [CAT:镜头/特写镜头] foot_focus | 足部特写
[DOMAIN:标签] [CAT:镜头/特写镜头] pov_hands | 视角手部
[DOMAIN:标签] [CAT:镜头/镜头角度] high-angle_view | 俯视视角
[DOMAIN:标签] [CAT:镜头/效果] zoom_layer | 缩放图层
[DOMAIN:标签] [CAT:镜头/人物视觉朝向] facing_away | 背对画面
[DOMAIN:标签] [CAT:镜头/人物构图] selfie | 自拍
[DOMAIN:标签] [CAT:镜头/其他沟通] head_out_of_frame | 出框
